query,category,timestamp,source
Payment not processed,Payment Failure,2024-04-02,WhatsApp
Late delivery compensation,Delivery Delay,2024-04-02,Instagram
Refund kab tak,Refund Request,2024-04-03,Email
Track my order please,Order Tracking,2024-04-03,Website
Product instructions missing,Product Issue,2024-04-04,WhatsApp
Tried paying multiple times,Payment Failure,2024-04-04,Instagram
Delivery time?,Delivery Delay,2024-04-05,Email
Refund policy?,General Query,2024-04-05,Website
Order update,Order Tracking,2024-04-06,WhatsApp
Item not as described,Product Issue,2024-04-06,Instagram
Payment confirmation not received,Payment Failure,2024-04-07,Email
Parcel delayed,Delivery Delay,2024-04-07,Website
Need refund urgently,Refund Request,2024-04-08,WhatsApp
Subscription charged twice,Subscription Issue,2024-04-08,Instagram
Order kaha hai,Order Tracking,2024-04-09,Email
Product packaging poor,Product Issue,2024-04-09,Website
Transaction not completed,Payment Failure,2024-04-10,WhatsApp
Delivery expected but didnt come,Delivery Delay,2024-04-10,Instagram
How to return,Refund Request,2024-04-11,Email
Order arriving when,Order Tracking,2024-04-11,Website
Product warranty claim,Product Issue,2024-04-12,WhatsApp
Payment issue help,Payment Failure,2024-04-12,Instagram
Still waiting,Delivery Delay,2024-04-13,Email
Order location?,Order Tracking,2024-04-13,Website
Refund amount wrong,Refund Request,2024-04-14,WhatsApp
Billing issue,General Query,2024-04-14,Instagram
ok,Ambiguous,2024-04-15,Email
Order?,Order Tracking,2024-04-15,Website
Order not yet dispatched,Order Tracking,2024-04-16,WhatsApp
Product torn,Product Issue,2024-04-16,Instagram
Payment rejection,Payment Failure,2024-04-17,Email
Delivery person said come tomorrow,Delivery Delay,2024-04-17,Website
Refund approved but not credited,Refund Request,2024-04-18,WhatsApp
Subscription downgrade option,Subscription Issue,2024-04-18,Instagram
Jaldi bhejo please,Order Tracking,2024-04-19,Email
Product warranty expired,Product Issue,2024-04-19,Website
Payment retry failed,Payment Failure,2024-04-20,WhatsApp
Parcel rescheduled,Delivery Delay,2024-04-20,Instagram
Store credit instead?,Refund Request,2024-04-21,Email
Where product,Order Tracking,2024-04-21,Website
Item stained,Product Issue,2024-04-22,WhatsApp
UPI payment issue,Payment Failure,2024-04-22,Instagram
Shipment delayed,Delivery Delay,2024-04-23,Email
Refund update,Refund Request,2024-04-23,Website
Subscription plan change,Subscription Issue,2024-04-24,WhatsApp
